Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),pKa,Diffusivity (20 °C) ( × 10−10 m2/s),Stokes Radius/Compound size (nm),TOC (mg/L),Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential (mV),Draw Solution,DS MW (g mol-1),DS Concentration (M),Initial DS pH,Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number
Primidone,Anticonvulsant,0.01,218,0,0.83,12.26,6.07,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,7.6,0.49,20,92,"(Kim, 2019)",1,,11
Caffeine,Stimulant,0.01,194,0,-0.63,0.52,6.46,0.33,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,7.6,0.49,20,84,"(Kim, 2019)",1,,12
Atenolol,β-Blockers,0.01,266.34,1,-2.09,9.6,5.46,0.39,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,2,NaN,10,8.5,9.2,0.59,20,94,"(Kim, 2019)",1,,13
Atrazine,Herbicide,0.01,216,0,2.64,2.27,6.1,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,2,NaN,10,8.5,9.2,0.59,20,88,"(Kim, 2019)",1,,14
Primidone,Anticonvulsant,0.01,218,0,0.83,12.26,6.07,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,2,NaN,10,8.5,9.2,0.59,20,92,"(Kim, 2019)",1,,15
Caffeine,Stimulant,0.01,194,0,-0.63,0.52,6.46,0.33,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,2,NaN,10,8.5,9.2,0.59,20,87,"(Kim, 2019)",1,,16
Atenolol,β-Blockers,0.01,266.34,1,-2.09,9.6,5.46,0.39,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,1,NaN,10,8.5,11.7,0.51,20,97,"(Kim, 2019)",1,,17
Atrazine,Herbicide,0.01,216,0,2.64,2.27,6.1,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,1,NaN,10,8.5,11.7,0.51,20,88,"(Kim, 2019)",1,,18
Primidone,Anticonvulsant,0.01,218,0,0.83,12.26,6.07,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,1,NaN,10,8.5,11.7,0.51,20,95,"(Kim, 2019)",1,,19
Caffeine,Stimulant,0.01,194,0,-0.63,0.52,6.46,0.33,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,1,NaN,10,8.5,11.7,0.51,20,86,"(Kim, 2019)",1,,20
Atenolol,β-Blockers,0.01,266.34,1,-2.09,9.6,5.46,0.39,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,2,NaN,10,8.5,17.1,0.86,20,98,"(Kim, 2019)",1,,21
Atrazine,Herbicide,0.01,216,0,2.64,2.27,6.1,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,2,NaN,10,8.5,17.1,0.86,20,92,"(Kim, 2019)",1,,22
Primidone,Anticonvulsant,0.01,218,0,0.83,12.26,6.07,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,2,NaN,10,8.5,17.1,0.86,20,95,"(Kim, 2019)",1,,23
Caffeine,Stimulant,0.01,194,0,-0.63,0.52,6.46,0.33,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Potassium chloride (KCl),74.6,2,NaN,10,8.5,17.1,0.86,20,87,"(Kim, 2019)",1,,24
"1,4-Dioxane",Cosmetic Toxin,0.009,88,0,-0.17,-3.9,n.a.,0.261,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,56,(Linares et al. 2011),3,file:///C:/Users/ct619/Downloads/Desalination_of_Red_Sea_water_using_both_electrodi.pdf,25
Acetaminophen,Pharmaceutical,0.00107,151,0,0.23,9.38,n.a.,0.54,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,49,(Linares et al. 2011),3,https://www.lenntech.com/calculators/osmotic/osmotic-pressure.htm,26
Metronidazole,Pharmaceutical,0.0087,171,0,-0.27,2.38,n.a.,0.53,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,66,(Linares et al. 2011),3,https://www.researchgate.net/publication/275251989_Desalination_of_Red_Sea_water_using_both_electrodialysis_and_reverse_osmosis_as_complementary_methods,27
Phenazone,Nonsteroidal anti-inflammatory,0.00118,188,0,0.54,1.4,n.a.,0.55,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,85,(Linares et al. 2011),3,,28
Caffeine,Stimulant,0.0096,194,0,-0.45,14,n.a.,0.39,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,80,(Linares et al. 2011),3,,29
Bisphenol A,Endocrine disrupting chemicals,0.0085,228,0,3.86,9.6,n.a.,0.56,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,40,(Linares et al. 2011),3,,30
Carbamazepine,Analgesics,0.001,236,0,2.58,13.9,n.a.,0.6,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,67,(Linares et al. 2011),3,,31
17α-Ethynilestradiol,Hormones,0.0064,296,0,3.98,10.33,n.a.,0.54,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,88,(Linares et al. 2011),3,,32
Ibuprofen,Pharmaceutical,0.0007,206,0,3.97,5.3,n.a.,0.56,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,93,(Linares et al. 2011),3,,33
Naproxen,Pharmaceutical,0.00104,230,0,0.34,4.15,n.a.,0.58,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,97,(Linares et al. 2011),3,,34
Fenoprofen,Pharmaceutical,0.00109,242,0,0.38,4.5,n.a.,0.56,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,94,(Linares et al. 2011),3,,35
Gemfibrozil,Pharmaceutical,0.00113,250,0,2.3,4.5,n.a.,0.6,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,96,(Linares et al. 2011),3,,36
Ketoprofen,Pharmaceutical,0.0092,254,0,-0.13,3.98,n.a.,0.56,n.a.,7.2,HTI PMMA FO,Poly(methyl methacrylate) (PMMA) Flat-sheet membrane,58.8,-22.8,Red Sea water,430.18,NaN,7.8,48,NaN,4,NaN,20,97,(Linares et al. 2011),3,,37
Phenol,Phenolic compounds,0.47055,94.11,0,NaN,10.2,n.a.,0.441,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane (active layer facing FS),62,-6,NaCl,58.44,1,7,96,9.8,8.8,4,21,21,(Heo et al. 2013),4,,53
4-propylphenol,Detergent,0.643,128.6,0,NaN,8.96,n.a.,0.547,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,9.8,8.8,4,21,28,(Heo et al. 2013),4,,54
Atrazine,Herbicide,1.0785,215.7,0,2.64,3.2,n.a.,0.35,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,9.8,8.8,4,21,34,(Heo et al. 2013),4,,55
Carbamazepine,Analgesics,1.1815,236.3,0,2.76,13.94,n.a.,0.37,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,9.8,8.8,4,21,68,(Heo et al. 2013),4,,56
Sulfamethoxazole,Therapeutic,1.2665,253.3,-1,NaN,5.8,n.a.,0.426,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,9.8,8.8,4,21,66,(Heo et al. 2013),4,,57
Phenol,Phenolic compounds,0.47055,94.11,0,NaN,10.2,n.a.,0.441,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane (active layer facing FS),62,-6,NaCl,58.44,1,7,96,58.8,7.5,3,21,22,(Heo et al. 2013),4,,59
4-propylphenol,Detergent,0.643,128.6,0,NaN,8.96,n.a.,0.454,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,58.8,7.5,3,21,38,(Heo et al. 2013),4,,60
Atrazine,Herbicide,1.0785,215.7,0,2.64,6.9,n.a.,0.35,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,58.8,7.5,3,21,49,(Heo et al. 2013),4,,61
Carbamazepine,Analgesics,1.1815,236.3,0,2.76,13.94,n.a.,0.37,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,58.8,7.5,3,21,83,(Heo et al. 2013),4,,62
Sulfamethoxazole,Therapeutic,1.2665,253.3,-1,NaN,5.8,n.a.,0.426,,7,HTI CTA FO ,Cellulose triacetate-based flat-shee FO membrane,62,-6,NaCl,58.44,1,7,96,58.8,7.5,3,21,90,(Heo et al. 2013),4,,63
Salycylic Acid,Personal care product,0.00075,138.12,-1,NaN,3.01,,0.528,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,47,(Alturki et al. 2013),5,,65
Paracetamol,Pharmaceutical,0.00075,151.16,0,NaN,9.86,,0.358,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,30,(Alturki et al. 2013),5,,66
Polyparaben,Pharmaceutical,0.00075,180.2,0,NaN,8.23,,0.452,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,45,(Alturki et al. 2013),5,,67
Caffeine,Stimulant,0.00075,194.19,0,NaN,0.52,,0.335,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,79,(Alturki et al. 2013),5,,68
Ibuprofen,Pharmaceutical,0.00075,206.28,-1,NaN,4.41,,0.441,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,75,(Alturki et al. 2013),5,,69
Primidone,Pharmaceutical,0.00075,218.25,0,NaN,12.26,,0.464,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,95,(Alturki et al. 2013),5,,70
Meprobamate,Pharmaceutical,0.00075,218.25,0,NaN,13.09,,0.408,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,92,(Alturki et al. 2013),5,,71
Naproxen,Pharmaceutical,0.00075,230.26,-1,NaN,4.84,,0.427,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,78,(Alturki et al. 2013),5,,72
Gemfibrozil,Pharmaceutical,0.00075,250.33,-1,NaN,4.75,,0.477,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,71,(Alturki et al. 2013),5,,73
Dilantin,Pharmaceutical,0.00075,252.27,0,NaN,8.28,,0.548,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,95,(Alturki et al. 2013),5,,74
Triamterene,Pharmaceutical,0.00075,253.26,-1,NaN,6.28,,0.488,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,93,(Alturki et al. 2013),5,,75
Ketoprofen,Pharmaceutical,0.00075,254.28,-1,NaN,4.23,,0.463,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,89,(Alturki et al. 2013),5,,76
Atenolol,β-Blockers,0.00075,266.34,1,-2.67,9.43,,0.412,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,77
Amitriptyline,Pharmaceutical,0.00075,277.4,0,NaN,9.18,,0.514,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,78
Triclosan,Detergent,0.00075,289.54,0,NaN,7.8,,0.391,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,89,(Alturki et al. 2013),5,,79
Trimethoprim,Antibiotics,0.00075,290.32,1,0.26,7.04,,0.385,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,80
Diclofenac,Pharmaceutical,0.00075,296.25,-1,NaN,4.18,,0.447,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,90,(Alturki et al. 2013),5,,81
Fluoxetine,Antidepressant,0.00075,309.33,1,NaN,10.05,,0.527,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,97,(Alturki et al. 2013),5,,82
Triclocarban,Pharmaceutical,0.00075,325.58,0,NaN,12.77,,0.496,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,98,(Alturki et al. 2013),5,,83
Clozapine,Pharmaceutical,0.00075,326.82,1,NaN,7.33,,0.607,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,98,(Alturki et al. 2013),5,,84
Omeprazole,Pharmaceutical,0.00075,345.42,0,NaN,8.78,,0.566,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,96,(Alturki et al. 2013),5,,85
Hydroxyzine,Pharmaceutical,0.00075,374.9,1,NaN,14.41,,0.452,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,97,(Alturki et al. 2013),5,,86
Risperidone,Pharmaceutical,0.00075,410.48,0,NaN,8.07,,0.583,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,87
Simvastatin,Pharmaceutical,0.00075,418.57,0,NaN,13.49,,0.573,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,88
Simvastatin hydroxy acid,Pharmaceutical,0.00075,436.58,-1,NaN,4.31,,0.496,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,89
Verapamil,Pharmaceutical,0.00075,454.6,0,NaN,8.97,,0.538,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,90
DEET,Pesticide,0.00075,191.27,0,NaN,-1.37,,0.329,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,68,(Alturki et al. 2013),5,,91
Atrazine,Herbicide,0.00075,215.68,0,2.64,2.27,,0.399,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,65,(Alturki et al. 2013),5,,92
Linuron,Herbicide,0.00075,249.09,0,NaN,12.13,,0.385,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,56,(Alturki et al. 2013),5,,93
t-Octylphenol,Detergent,0.00075,206.32,0,NaN,10.15,,0.372,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,79,(Alturki et al. 2013),5,,94
Nonylphenol,Nonylphenol,0.00075,220.35,0,NaN,10.15,,0.408,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,98,(Alturki et al. 2013),5,,95
Estrone,Hormones,0.00075,270.37,0,NaN,10.25,,0.342,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,94,(Alturki et al. 2013),5,,96
17β-Estradiol,Hormones,0.00075,272.38,0,NaN,10.27,,0.33,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,96,(Alturki et al. 2013),5,,97
17α-Estradiol,Hormones,0.00075,272.38,0,NaN,10.27,,0.33,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,95,(Alturki et al. 2013),5,,98
Androstenedione,Hormones,0.00075,286.41,0,NaN,18.52,,0.394,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,94,(Alturki et al. 2013),5,,99
Estriol,Hormones,0.00075,288.38,0,NaN,10.25,,0.318,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,87,(Alturki et al. 2013),5,,100
Testosterone,Hormones,0.00075,288.42,0,NaN,15.06,,0.442,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,92,(Alturki et al. 2013),5,,101
Etiocholanolone,Hormones,0.00075,290.44,0,NaN,15.14,,0.423,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,98,(Alturki et al. 2013),5,,102
Androsterone,Hormones,0.00075,290.44,0,NaN,15.14,,0.445,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,97,(Alturki et al. 2013),5,,103
17α-Ethynylestradiol,Hormones,0.00075,296.4,0,3.98,10.24,,0.309,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,2,NaN,25,9,11.01,8.5,22.5,99,(Alturki et al. 2013),5,,104
Salycylic Acid,Personal care product,0.00075,138.12,-1,NaN,3.01,,0.528,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,6,(Alturki et al. 2013),5,,105
Paracetamol,Pharmaceutical,0.00075,151.16,0,NaN,9.86,,0.358,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,18,(Alturki et al. 2013),5,,106
Polyparaben,Pharmaceutical,0.00075,180.2,0,NaN,8.23,,0.452,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,65,(Alturki et al. 2013),5,,107
Caffeine,Stimulant,0.00075,194.19,0,NaN,0.52,,0.335,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,67,(Alturki et al. 2013),5,,108
Ibuprofen,Pharmaceutical,0.00075,206.28,-1,NaN,4.41,,0.441,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,80,(Alturki et al. 2013),5,,109
Primidone,Pharmaceutical,0.00075,218.25,0,NaN,12.26,,0.464,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,84,(Alturki et al. 2013),5,,110
Meprobamate,Pharmaceutical,0.00075,218.25,0,NaN,13.09,,0.408,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,87,(Alturki et al. 2013),5,,111
Naproxen,Pharmaceutical,0.00075,230.26,-1,NaN,4.84,,0.427,,6,HTI CTA FO ,Flat-sheet membrane (active layer facing FS),64,-2.74,NaCl,58.44,0.5,NaN,25,9,5.36,4,22.5,83,(Alturki et al. 2013),5,,112
